Time (UTC), Channel2
05/22/21 14:21:40, 69.2
05/22/21 14:21:45, 
05/22/21 14:22:10, 
05/22/21 14:22:15, 
05/22/21 14:22:35, 70.3
05/22/21 14:22:40, 70.3
05/22/21 14:22:45, 
05/22/21 14:23:10, 
05/22/21 14:23:15, 
05/22/21 14:23:35, 71.5
05/22/21 14:23:40, 71.5
05/22/21 14:23:45, 
05/22/21 14:24:10, 
05/22/21 14:24:15, 
05/22/21 14:24:35, 72.6
05/22/21 14:24:40, 72.6
05/22/21 14:24:45, 
05/22/21 14:25:10, 
05/22/21 14:25:15, 
05/22/21 14:25:35, 73.8
05/22/21 14:25:40, 73.8
05/22/21 14:25:45, 
05/22/21 14:26:10, 
05/22/21 14:26:15, 
05/22/21 14:26:35, 74.9
05/22/21 14:26:40, 74.9
05/22/21 14:26:45, 
05/22/21 14:27:10, 
05/22/21 14:27:15, 
05/22/21 14:27:35, 76.0
05/22/21 14:27:40, 76.0
05/22/21 14:27:45, 
05/22/21 14:28:10, 
05/22/21 14:28:15, 
05/22/21 14:28:35, 77.1
05/22/21 14:28:40, 77.1
05/22/21 14:28:45, 
05/22/21 14:29:10, 
05/22/21 14:29:15, 
05/22/21 14:29:35, 78.1
05/22/21 14:29:40, 78.1
05/22/21 14:29:45, 
05/22/21 14:30:10, 
05/22/21 14:30:15, 
05/22/21 14:30:35, 79.2
05/22/21 14:30:40, 79.2
05/22/21 14:30:45, 
05/22/21 14:31:10, 
05/22/21 14:31:15, 
05/22/21 14:31:35, 80.2
05/22/21 14:31:40, 80.2
05/22/21 14:31:45, 
05/22/21 14:32:10, 
05/22/21 14:32:15, 
05/22/21 14:32:35, 81.2
05/22/21 14:32:40, 81.2
05/22/21 14:32:45, 
05/22/21 14:33:10, 
05/22/21 14:33:15, 
05/22/21 14:33:35, 82.3
05/22/21 14:33:40, 82.3
05/22/21 14:33:45, 
05/22/21 14:34:10, 
05/22/21 14:34:15, 
05/22/21 14:34:35, 83.3
05/22/21 14:34:40, 83.3
05/22/21 14:34:45, 
05/22/21 14:35:10, 
05/22/21 14:35:15, 
05/22/21 14:35:35, 84.3
05/22/21 14:35:40, 84.3
05/22/21 14:35:45, 
05/22/21 14:36:10, 
05/22/21 14:36:15, 
05/22/21 14:36:35, 85.3
05/22/21 14:36:40, 85.3
05/22/21 14:36:45, 
05/22/21 14:37:10, 
05/22/21 14:37:15, 
05/22/21 14:37:35, 86.4
05/22/21 14:37:40, 86.4
05/22/21 14:37:45, 
05/22/21 14:38:10, 
05/22/21 14:38:15, 
05/22/21 14:38:35, 87.4
05/22/21 14:38:40, 87.4
05/22/21 14:38:45, 
05/22/21 14:39:10, 
05/22/21 14:39:15, 
05/22/21 14:39:35, 88.4
05/22/21 14:39:40, 88.4
05/22/21 14:39:45, 
05/22/21 14:40:10, 
05/22/21 14:40:15, 
05/22/21 14:40:35, 89.4
05/22/21 14:40:40, 89.4
05/22/21 14:40:45, 
05/22/21 14:41:10, 
05/22/21 14:41:15, 
05/22/21 14:41:35, 90.5
05/22/21 14:41:40, 90.5
05/22/21 14:41:45, 
05/22/21 14:42:10, 
05/22/21 14:42:15, 
05/22/21 14:42:35, 91.5
05/22/21 14:42:40, 91.5
05/22/21 14:42:45, 
05/22/21 14:43:10, 
05/22/21 14:43:15, 
05/22/21 14:43:35, 92.5
05/22/21 14:43:40, 92.5
05/22/21 14:43:45, 
05/22/21 14:44:10, 
05/22/21 14:44:15, 
05/22/21 14:44:35, 93.5
05/22/21 14:44:40, 93.5
05/22/21 14:44:45, 
05/22/21 14:45:10, 
05/22/21 14:45:15, 
05/22/21 14:45:35, 94.5
05/22/21 14:45:40, 94.5
05/22/21 14:45:45, 
05/22/21 14:46:10, 
05/22/21 14:46:15, 
05/22/21 14:46:35, 95.5
05/22/21 14:46:40, 95.5
05/22/21 14:46:45, 
05/22/21 14:47:10, 
05/22/21 14:47:15, 
05/22/21 14:47:35, 96.5
05/22/21 14:47:40, 96.5
05/22/21 14:47:45, 
05/22/21 14:48:10, 
05/22/21 14:48:15, 
05/22/21 14:48:35, 97.4
05/22/21 14:48:40, 97.4
05/22/21 14:48:45, 
05/22/21 14:49:10, 
05/22/21 14:49:15, 
05/22/21 14:49:35, 98.4
05/22/21 14:49:40, 98.4
05/22/21 14:49:45, 
05/22/21 14:50:10, 
05/22/21 14:50:15, 
05/22/21 14:50:35, 99.3
05/22/21 14:50:40, 99.3
05/22/21 14:50:45, 
05/22/21 14:51:10, 
05/22/21 14:51:15, 
05/22/21 14:51:35, 100.2
05/22/21 14:51:40, 100.2
05/22/21 14:51:45, 
05/22/21 14:52:10, 
05/22/21 14:52:15, 
05/22/21 14:52:35, 101.1
05/22/21 14:52:40, 101.1
05/22/21 14:52:45, 
05/22/21 14:53:10, 
05/22/21 14:53:15, 
05/22/21 14:53:35, 102.0
05/22/21 14:53:40, 102.0
05/22/21 14:53:45, 
05/22/21 14:54:10, 
05/22/21 14:54:15, 
05/22/21 14:54:35, 102.8
05/22/21 14:54:40, 102.8
05/22/21 14:54:45, 
05/22/21 14:55:10, 
05/22/21 14:55:15, 
05/22/21 14:55:35, 103.7
05/22/21 14:55:40, 103.7
05/22/21 14:55:45, 
05/22/21 14:56:10, 
05/22/21 14:56:15, 
05/22/21 14:56:35, 104.6
05/22/21 14:56:40, 104.6
05/22/21 14:56:45, 
05/22/21 14:57:10, 
05/22/21 14:57:15, 
05/22/21 14:57:35, 105.4
05/22/21 14:57:40, 105.4
05/22/21 14:57:45, 
05/22/21 14:58:10, 
05/22/21 14:58:15, 
05/22/21 14:58:35, 106.2
05/22/21 14:58:40, 106.2
05/22/21 14:58:45, 
05/22/21 14:59:10, 
05/22/21 14:59:15, 
05/22/21 14:59:35, 107.0
05/22/21 14:59:40, 107.0
05/22/21 14:59:45, 
05/22/21 15:00:10, 
05/22/21 15:00:15, 
05/22/21 15:00:35, 107.8
05/22/21 15:00:40, 107.8
05/22/21 15:00:45, 
05/22/21 15:01:10, 
05/22/21 15:01:15, 
05/22/21 15:01:35, 108.6
05/22/21 15:01:40, 108.6
05/22/21 15:01:45, 
05/22/21 15:02:10, 
05/22/21 15:02:15, 
05/22/21 15:02:35, 109.3
05/22/21 15:02:40, 109.3
05/22/21 15:02:45, 
05/22/21 15:03:10, 
05/22/21 15:03:15, 
05/22/21 15:03:35, 110.1
05/22/21 15:03:40, 110.1
05/22/21 15:03:45, 
05/22/21 15:04:10, 
05/22/21 15:04:15, 
05/22/21 15:04:35, 110.9
05/22/21 15:04:40, 110.9
05/22/21 15:04:45, 
05/22/21 15:05:10, 
05/22/21 15:05:15, 
05/22/21 15:05:35, 111.6
05/22/21 15:05:40, 111.6
05/22/21 15:05:45, 
05/22/21 15:06:10, 
05/22/21 15:06:15, 
05/22/21 15:06:35, 112.4
05/22/21 15:06:40, 112.4
